ticker,n_quotes,avg_iv,best_bucket,best_bucket_avg_pnl,best_bucket_avg_pnl_pct,best_bucket_avg_spread,best_bucket_avg_spread_pct,latest_price
BAX,1789,39%,4.5-5.0%,$-1.27,-6.44%,$0.40,2.02%,$19.79
BAC,4030,38%,3.5-4.0%,$-0.40,-0.77%,$0.97,1.85%,$52.55
BA,8140,47%,2.5-3.0%,$-0.02,-0.01%,$4.14,1.70%,$242.96
BABA,8614,54%,4.5-5.0%,$-1.93,-1.24%,$3.30,2.12%,$155.73
BBWI,2314,56%,4.5-5.0%,$-0.62,-2.58%,$1.00,4.15%,$24.07
BEKE,1391,66%,3.5-4.0%,$-0.06,-0.32%,$0.43,2.45%,$17.55
BHC,1458,71%,3.0-3.5%,$0.05,0.81%,$0.67,11.19%,$5.99
BE,1961,101%,2.5-3.0%,$1.16,0.83%,$8.55,6.12%,$139.74
BBY,2265,47%,4.5-5.0%,$-1.37,-2.08%,$1.74,2.64%,$65.80
BKKT,191,156%,0.0-0.5%,$0.14,1.28%,$2.30,21.36%,$10.77
BITF,148,126%,4.5-5.0%,$0.08,3.74%,$0.20,9.35%,$2.14
BKSY,237,107%,1.5-2.0%,$0.58,2.68%,$0.30,1.40%,$21.48
BRR,2,62%,0.5-1.0%,$0.05,1.98%,$-0.20,-7.94%,$2.52
BILI,3868,79%,4.0-4.5%,$-0.12,-0.38%,$2.18,7.12%,$30.60
BLSH,558,85%,4.0-4.5%,$-0.36,-1.13%,$1.13,3.56%,$31.73
BIDU,9555,56%,4.5-5.0%,$-0.25,-0.18%,$8.69,6.34%,$137.01
BILL,4955,78%,2.0-2.5%,$0.04,0.08%,$11.85,25.22%,$46.99
BMNR,738,111%,4.0-4.5%,$0.37,1.76%,$2.13,10.16%,$20.96
BIIB,4626,49%,4.0-4.5%,$0.50,0.25%,$23.70,12.06%,$196.52
BMY,1792,41%,4.0-4.5%,$-0.65,-1.07%,$0.48,0.79%,$60.74
BP,1203,39%,4.5-5.0%,$-0.57,-1.51%,$0.18,0.48%,$37.66
BTG,27,61%,1.0-1.5%,$0.06,1.17%,$0.00,0.00%,$5.40
BTBT,366,127%,0.0-0.5%,$0.14,7.75%,$0.55,31.25%,$1.76
BTDR,525,111%,3.5-4.0%,$0.58,5.77%,$0.55,5.46%,$10.08
BROS,1833,74%,4.5-5.0%,$0.25,0.46%,$3.45,6.48%,$53.20
BULL,313,94%,4.5-5.0%,$0.17,2.80%,$0.83,13.81%,$6.01
BOIL,1574,108%,1.5-2.0%,$-0.10,-0.55%,$4.13,21.77%,$18.97
BSX,2465,36%,2.0-2.5%,$0.09,0.12%,$2.63,3.52%,$74.73
BLK,8568,33%,4.5-5.0%,$-7.95,-0.74%,$13.15,1.23%,$1071.51
CAG,263,32%,4.5-5.0%,$-0.32,-1.62%,$0.05,0.25%,$19.76
BTU,2170,62%,3.0-3.5%,$-0.13,-0.37%,$1.06,3.08%,$34.45
BUD,2970,39%,3.5-4.0%,$-0.67,-0.83%,$0.96,1.19%,$80.39
CCCX,88,111%,1.0-1.5%,$-0.13,-0.98%,$-0.12,-0.88%,$13.66
BX,4216,44%,4.5-5.0%,$-1.60,-1.23%,$4.01,3.09%,$129.86
BKNG,32164,41%,4.5-5.0%,$-6.51,-0.16%,$99.50,2.40%,$4140.60
BURL,5076,56%,1.0-1.5%,$0.83,0.27%,$16.00,5.29%,$302.37
C,3431,38%,3.5-4.0%,$-0.53,-0.47%,$1.81,1.63%,$110.86
BYND,3521,91%,2.5-3.0%,$0.45,63.19%,$5.60,788.73%,$0.71
CART,1519,59%,2.5-3.0%,$0.26,0.71%,$2.20,6.06%,$36.30
CC,596,60%,4.0-4.5%,$-0.36,-1.75%,$0.40,1.95%,$20.52
CAH,2718,34%,4.5-5.0%,$-0.35,-0.16%,$1.40,0.63%,$220.79
CDE,243,86%,3.0-3.5%,$0.26,1.17%,$0.80,3.57%,$22.42
CAVA,3333,65%,3.0-3.5%,$-0.03,-0.05%,$7.35,11.57%,$63.50
CAR,6326,74%,4.5-5.0%,$-1.79,-1.51%,$13.10,11.07%,$118.35
CHPT,117,106%,3.5-4.0%,$0.26,4.45%,$0.14,2.37%,$5.90
CBOE,4159,36%,4.5-5.0%,$-0.53,-0.19%,$1.35,0.49%,$275.11
CAT,8758,41%,4.5-5.0%,$-1.66,-0.21%,$6.98,0.90%,$774.20
CCJ,5442,58%,1.5-2.0%,$0.19,0.17%,$3.68,3.26%,$112.90
CDNS,1112,46%,4.0-4.5%,$-0.22,-0.07%,$5.20,1.74%,$299.46
CCL,3129,61%,0.5-1.0%,$0.10,0.32%,$0.77,2.42%,$31.77
CGC,280,128%,1.5-2.0%,$0.33,30.56%,$0.83,76.85%,$1.08
CEG,2448,57%,0.5-1.0%,$-0.07,-0.02%,$14.50,5.03%,$288.43
CELH,2696,67%,4.5-5.0%,$0.11,0.25%,$2.16,4.83%,$44.68
CIFR,558,123%,2.5-3.0%,$0.40,2.44%,$1.27,7.73%,$16.42
CIEN,1993,56%,0.0-0.5%,$0.90,0.30%,$11.44,3.76%,$303.92
CF,4042,48%,4.5-5.0%,$-1.52,-1.60%,$2.85,3.01%,$94.66
CLOV,466,96%,0.5-1.0%,$0.16,7.89%,$1.06,52.48%,$2.02
CMCSA,334,36%,4.5-5.0%,$-0.98,-3.09%,$0.07,0.22%,$31.57
CHWY,6030,68%,3.0-3.5%,$-0.17,-0.72%,$3.39,13.99%,$24.23
CLF,2985,65%,1.5-2.0%,$0.08,0.76%,$1.38,13.29%,$10.38
CNQ,407,41%,2.5-3.0%,$0.01,0.01%,$0.50,1.23%,$40.68
CL,1659,27%,4.0-4.5%,$-0.92,-0.95%,$0.50,0.52%,$96.67
CI,5383,35%,4.5-5.0%,$-2.90,-0.99%,$3.80,1.30%,$291.44
CLSK,1053,106%,1.5-2.0%,$0.23,2.33%,$1.20,12.18%,$9.85
CHTR,7625,48%,3.5-4.0%,$-0.72,-0.30%,$25.00,10.46%,$239.09
CLS,2467,76%,0.5-1.0%,$1.77,0.63%,$21.00,7.48%,$280.66
CME,648,26%,4.5-5.0%,$-2.47,-0.81%,$0.85,0.28%,$303.07
CMG,1668,44%,4.5-5.0%,$-0.10,-0.28%,$1.20,3.31%,$36.30
CNC,3841,44%,4.0-4.5%,$0.06,0.15%,$0.95,2.34%,$40.58
COHR,2512,70%,1.5-2.0%,$0.60,0.28%,$11.85,5.46%,$217.23
CORZ,625,88%,0.5-1.0%,$0.31,1.71%,$0.57,3.20%,$17.84
CRML,140,157%,4.0-4.5%,$0.51,5.52%,$0.30,3.25%,$9.24
CRCL,1262,89%,3.5-4.0%,$-1.03,-1.72%,$7.70,12.82%,$60.04
CPB,574,32%,4.0-4.5%,$-0.38,-1.28%,$0.20,0.68%,$29.49
COF,7258,45%,4.5-5.0%,$-1.66,-0.80%,$4.15,2.00%,$207.37
COP,4042,37%,4.0-4.5%,$-1.90,-1.72%,$1.38,1.25%,$110.57
CPNG,2317,62%,3.0-3.5%,$0.03,0.16%,$1.16,6.83%,$16.98
CRDO,1119,93%,4.0-4.5%,$2.03,1.67%,$10.65,8.77%,$121.44
CRH,1121,51%,4.0-4.5%,$0.24,0.19%,$3.50,2.78%,$125.97
COIN,8754,85%,2.5-3.0%,$-0.24,-0.15%,$12.90,7.85%,$164.32
COST,13565,34%,4.5-5.0%,$-1.45,-0.14%,$12.17,1.19%,$1018.48
CROX,4467,56%,3.0-3.5%,$-0.16,-0.16%,$5.10,5.26%,$96.88
CRWV,1651,105%,0.5-1.0%,$0.73,0.76%,$10.25,10.67%,$96.04
CRM,8315,44%,4.0-4.5%,$0.13,0.07%,$7.63,4.02%,$189.72
CRSP,5290,72%,4.0-4.5%,$-0.16,-0.30%,$3.35,6.31%,$53.07
CSIQ,2909,73%,4.5-5.0%,$-0.02,-0.09%,$1.50,7.74%,$19.39
CSCO,2630,31%,4.5-5.0%,$-0.54,-0.70%,$0.66,0.86%,$76.85
CRWD,10794,55%,1.5-2.0%,$0.59,0.14%,$17.29,4.02%,$429.64
CWAN,23,59%,4.0-4.5%,$0.25,1.08%,$-0.10,-0.43%,$23.15
CTAS,525,35%,4.5-5.0%,$0.49,0.25%,$1.60,0.83%,$193.44
CSX,1362,31%,4.5-5.0%,$-0.30,-0.74%,$0.20,0.49%,$40.87
CTRA,731,34%,4.5-5.0%,$-0.27,-0.87%,$0.30,0.96%,$31.37
CVS,2396,45%,3.5-4.0%,$-0.89,-1.13%,$1.36,1.73%,$78.48
CVX,3320,33%,4.5-5.0%,$-1.64,-0.89%,$2.62,1.43%,$183.74
DBRG,104,80%,3.5-4.0%,$0.18,1.19%,$0.35,2.27%,$15.41
DFDV,61,141%,4.0-4.5%,$-0.03,-0.86%,$-0.35,-9.00%,$3.89
CVNA,8458,87%,4.0-4.5%,$-0.19,-0.05%,$25.55,7.45%,$342.87
CZR,6947,64%,1.5-2.0%,$0.15,0.83%,$3.83,21.11%,$18.14
DBX,2074,53%,1.0-1.5%,$0.12,0.49%,$1.10,4.48%,$24.53
DDD,1342,92%,1.5-2.0%,$0.03,1.33%,$3.11,149.52%,$2.08
DAL,5781,51%,4.0-4.5%,$-0.09,-0.13%,$1.17,1.70%,$69.00
DECK,1503,60%,2.0-2.5%,$-0.38,-0.33%,$6.10,5.27%,$115.73
DASH,8012,67%,4.0-4.5%,$0.57,0.35%,$8.77,5.47%,$160.34
DELL,4291,53%,3.5-4.0%,$-0.51,-0.43%,$4.55,3.87%,$117.49
DDOG,9960,62%,1.0-1.5%,$0.49,0.39%,$15.39,12.29%,$125.20
DHR,1786,34%,4.5-5.0%,$-0.05,-0.02%,$2.35,1.11%,$212.58
DHI,6846,44%,4.0-4.5%,$-0.53,-0.32%,$1.82,1.08%,$167.78
DE,10415,42%,4.5-5.0%,$-2.69,-0.45%,$10.50,1.74%,$602.92
DNN,38,104%,2.0-2.5%,$0.06,1.59%,$0.06,1.59%,$3.78
DG,6252,42%,4.5-5.0%,$-3.12,-2.03%,$4.05,2.63%,$153.84
DJT,1639,118%,1.5-2.0%,$0.60,5.43%,$7.45,67.85%,$10.98
DNUT,93,83%,0.0-0.5%,$0.23,7.88%,$0.50,16.95%,$2.95
DLR,2423,39%,4.5-5.0%,$-1.17,-0.65%,$2.15,1.19%,$180.97
DIS,7340,39%,3.5-4.0%,$-0.38,-0.36%,$4.64,4.40%,$105.45
DKNG,5416,66%,4.0-4.5%,$0.14,0.63%,$2.73,12.55%,$21.76
DOCN,554,75%,4.0-4.5%,$0.47,0.69%,$1.35,1.98%,$68.16
DIA,22646,25%,4.5-5.0%,$-2.89,-0.58%,$4.16,0.84%,$495.28
DOW,1109,47%,3.5-4.0%,$-1.00,-3.09%,$0.56,1.72%,$32.49
DLTR,7967,47%,2.0-2.5%,$0.13,0.10%,$6.23,4.94%,$126.06
DUOL,1249,70%,3.5-4.0%,$-3.08,-2.74%,$6.95,6.17%,$112.57
EH,455,84%,3.5-4.0%,$0.01,0.07%,$1.75,15.11%,$11.58
DOCU,6752,64%,2.0-2.5%,$-0.18,-0.40%,$9.36,20.88%,$44.82
DVN,2863,41%,4.0-4.5%,$-0.64,-1.44%,$0.57,1.28%,$44.66
EMB,292,22%,4.5-5.0%,$-0.80,-0.82%,$-0.06,-0.06%,$97.42
DXCM,2384,52%,1.0-1.5%,$0.00,0.01%,$5.35,7.64%,$70.02
EA,5906,39%,4.5-5.0%,$-0.18,-0.09%,$2.33,1.16%,$200.62
EBAY,5383,44%,4.5-5.0%,$-0.93,-1.12%,$1.25,1.52%,$82.38
EPD,452,25%,4.5-5.0%,$-0.50,-1.34%,$0.28,0.75%,$37.21
EL,2770,50%,4.5-5.0%,$-1.25,-1.15%,$3.40,3.14%,$108.24
ELF,4208,69%,0.5-1.0%,$-0.31,-0.38%,$11.15,13.68%,$81.50
EOSE,474,121%,2.5-3.0%,$0.21,1.92%,$0.69,6.22%,$11.10
ET,304,32%,3.0-3.5%,$-0.27,-1.45%,$0.03,0.16%,$18.75
ENVX,1269,97%,2.5-3.0%,$0.24,4.06%,$1.48,25.00%,$5.92
EMR,3149,33%,4.5-5.0%,$-1.54,-1.04%,$1.55,1.05%,$148.13
ETH,306,73%,4.5-5.0%,$0.24,1.23%,$0.30,1.55%,$19.35
ETHA,665,79%,4.5-5.0%,$0.13,0.85%,$0.73,4.73%,$15.44
ENPH,8680,70%,4.5-5.0%,$0.23,0.53%,$10.78,24.79%,$43.49
EOG,2656,34%,4.0-4.5%,$-1.61,-1.33%,$1.75,1.45%,$120.73
FFAI,60,145%,4.5-5.0%,$0.15,24.59%,$-0.02,-3.28%,$0.61
FCEL,242,132%,4.5-5.0%,$0.11,1.58%,$0.52,7.20%,$7.22
EQT,3243,51%,4.5-5.0%,$-0.20,-0.34%,$0.77,1.31%,$58.70
F,414,41%,2.5-3.0%,$-0.01,-0.07%,$0.41,2.90%,$14.12
FRMI,50,163%,2.5-3.0%,$0.46,4.47%,$-0.10,-0.97%,$10.29
FBTC,895,51%,4.0-4.5%,$0.12,0.20%,$1.05,1.75%,$59.89
FLY,270,115%,2.0-2.5%,$0.21,1.09%,$0.55,2.85%,$19.30
ETN,2973,40%,3.5-4.0%,$-1.63,-0.42%,$5.90,1.52%,$389.25
FIG,570,83%,3.5-4.0%,$0.04,0.19%,$2.84,12.61%,$22.53
FHN,219,41%,3.5-4.0%,$-0.08,-0.32%,$0.00,0.00%,$24.56
ETSY,7637,65%,2.5-3.0%,$0.41,0.91%,$10.94,23.92%,$45.73
EXPE,7964,55%,2.0-2.5%,$-0.13,-0.06%,$12.08,5.68%,$212.67
FCX,5761,51%,4.0-4.5%,$-0.45,-0.72%,$0.68,1.08%,$62.84
FEZ,1071,29%,4.0-4.5%,$-0.72,-1.07%,$0.61,0.90%,$67.54
FIS,1207,39%,4.5-5.0%,$-0.30,-0.63%,$0.95,2.03%,$46.80
GEMI,173,110%,3.0-3.5%,$0.35,4.57%,$0.55,7.28%,$7.56
FDX,7109,41%,4.5-5.0%,$-3.84,-1.02%,$10.26,2.74%,$374.72
GAP,833,65%,2.0-2.5%,$-0.01,-0.02%,$0.94,3.40%,$27.67
FSLY,2927,80%,2.5-3.0%,$-0.27,-1.49%,$6.18,33.84%,$18.26
FTNT,2977,47%,2.0-2.5%,$0.29,0.34%,$6.90,8.06%,$85.56
FUBO,1262,104%,1.5-2.0%,$0.39,28.87%,$3.10,231.34%,$1.34
FTAI,1341,77%,2.5-3.0%,$0.96,0.34%,$7.40,2.64%,$279.85
FSLR,9304,60%,1.0-1.5%,$0.57,0.25%,$11.40,5.05%,$225.65
FUTU,7155,74%,4.5-5.0%,$-0.48,-0.33%,$8.50,5.79%,$146.72
GEHC,1997,36%,2.5-3.0%,$0.06,0.07%,$1.40,1.74%,$80.34
GDDY,2503,43%,3.5-4.0%,$0.25,0.28%,$3.95,4.43%,$89.12
GE,2532,42%,0.5-1.0%,$0.70,0.22%,$5.53,1.75%,$315.41
GLXY,636,97%,0.0-0.5%,$0.33,1.51%,$1.70,7.85%,$21.66
GD,3216,29%,4.5-5.0%,$-2.28,-0.65%,$1.55,0.45%,$347.64
GEV,3727,55%,2.0-2.5%,$4.80,0.60%,$15.50,1.93%,$802.13
GILD,2940,42%,4.5-5.0%,$-0.74,-0.48%,$2.50,1.61%,$154.98
GLW,1560,43%,3.0-3.5%,$-0.05,-0.03%,$2.01,1.51%,$133.46
GTM,40,60%,3.5-4.0%,$0.08,1.18%,$0.00,0.00%,$6.36
GPRO,611,77%,1.0-1.5%,$0.12,13.71%,$0.25,29.07%,$0.86
GRRR,405,128%,3.0-3.5%,$0.27,2.19%,$1.60,12.76%,$12.54
GRAB,155,78%,0.5-1.0%,$0.02,0.44%,$0.35,8.47%,$4.13
GME,3139,83%,0.5-1.0%,$0.22,0.93%,$4.33,18.37%,$23.57
GM,5825,45%,4.5-5.0%,$-0.22,-0.27%,$0.95,1.17%,$81.08
GOOS,1608,67%,4.5-5.0%,$-0.01,-0.05%,$0.84,6.87%,$12.23
GNRC,4568,55%,3.5-4.0%,$0.02,0.01%,$4.35,1.94%,$224.45
GLD,18151,25%,0.0-0.5%,$0.50,0.11%,$15.16,3.28%,$462.62
GSK,846,34%,4.5-5.0%,$-0.30,-0.51%,$0.25,0.42%,$58.93
GOOG,6500,41%,4.0-4.5%,$0.14,0.05%,$6.41,2.09%,$306.02
HIVE,176,124%,3.5-4.0%,$0.09,4.07%,$0.05,2.26%,$2.21
GTLB,2522,71%,3.5-4.0%,$0.08,0.25%,$4.25,14.38%,$29.55
GOOGL,6942,41%,4.5-5.0%,$0.19,0.06%,$4.42,1.45%,$305.72
HAL,4453,50%,4.5-5.0%,$-0.63,-1.86%,$0.48,1.41%,$33.96
HIMS,1930,95%,2.5-3.0%,$0.04,0.26%,$4.40,26.99%,$16.30
HL,913,70%,0.5-1.0%,$0.10,0.44%,$1.03,4.56%,$22.60
GS,10192,38%,4.5-5.0%,$-2.73,-0.30%,$13.88,1.53%,$905.14
HLT,861,37%,1.0-1.5%,$0.63,0.20%,$5.30,1.68%,$314.62
HLF,1644,67%,4.0-4.5%,$-0.06,-0.35%,$0.80,5.03%,$15.90
HD,7356,37%,4.5-5.0%,$-3.70,-0.95%,$4.60,1.18%,$391.05
HON,1013,29%,4.5-5.0%,$-4.06,-1.68%,$1.30,0.54%,$241.38
HPQ,1472,41%,4.0-4.5%,$-0.48,-2.48%,$0.74,3.84%,$19.26
HPE,677,48%,3.5-4.0%,$-0.12,-0.53%,$0.50,2.20%,$22.69
HOG,2161,51%,4.5-5.0%,$-0.59,-2.88%,$1.00,4.90%,$20.42
HRL,456,29%,4.0-4.5%,$-0.51,-2.13%,$0.30,1.26%,$23.78
HTZ,290,96%,4.5-5.0%,$0.17,3.35%,$0.36,7.14%,$5.04
HSBC,519,32%,4.0-4.5%,$-0.12,-0.14%,$0.55,0.65%,$85.15
HOOD,3990,74%,4.0-4.5%,$0.34,0.45%,$5.32,7.00%,$75.97
HUT,1577,110%,2.5-3.0%,$0.64,1.20%,$2.36,4.38%,$53.87
HSY,2546,31%,4.5-5.0%,$-3.81,-1.71%,$1.45,0.65%,$222.58
IBKR,523,45%,3.0-3.5%,$0.36,0.48%,$0.80,1.07%,$74.75
HWM,1081,48%,1.0-1.5%,$1.12,0.45%,$5.55,2.22%,$250.21
INO,134,129%,1.5-2.0%,$0.43,26.92%,$0.00,0.00%,$1.61
IAU,798,24%,2.5-3.0%,$0.14,0.15%,$1.70,1.79%,$94.75
INOD,553,105%,3.5-4.0%,$0.92,2.07%,$3.25,7.32%,$44.39
IEF,1101,9%,4.0-4.5%,$0.01,0.01%,$-0.01,-0.01%,$97.21
HUM,6894,42%,4.5-5.0%,$-2.42,-1.31%,$11.35,6.17%,$184.10
IBM,3397,34%,4.0-4.5%,$-1.45,-0.55%,$5.40,2.06%,$262.38
IOVA,298,110%,2.5-3.0%,$0.03,1.10%,$0.40,15.56%,$2.57
IONQ,2331,102%,1.5-2.0%,$0.67,1.96%,$3.76,11.02%,$34.11
IQ,922,86%,3.0-3.5%,$0.12,6.49%,$0.54,30.00%,$1.80
IOT,1799,71%,2.5-3.0%,$0.14,0.53%,$3.20,11.71%,$27.32
IP,920,40%,4.5-5.0%,$-0.45,-0.91%,$0.55,1.12%,$49.10
INTC,5662,49%,4.5-5.0%,$-0.77,-1.64%,$1.32,2.82%,$46.79
IREN,1227,117%,1.0-1.5%,$1.26,2.98%,$6.07,14.38%,$42.22
IRM,901,40%,2.5-3.0%,$-0.44,-0.40%,$1.50,1.37%,$109.83
JBLU,866,68%,3.0-3.5%,$0.06,1.02%,$0.13,2.20%,$5.91
JMIA,1521,105%,2.5-3.0%,$0.05,0.49%,$4.27,45.82%,$9.32
INTU,11163,44%,4.5-5.0%,$-1.80,-0.45%,$29.45,7.37%,$399.40
JOBY,541,86%,2.0-2.5%,$0.22,2.22%,$1.10,11.11%,$9.90
JNJ,3413,30%,4.5-5.0%,$-1.66,-0.68%,$1.45,0.60%,$243.45
JD,4431,57%,4.5-5.0%,$-0.86,-3.16%,$2.01,7.41%,$27.14
KOPN,18,144%,2.5-3.0%,$0.15,6.82%,$-0.10,-4.55%,$2.20
KGC,946,53%,4.5-5.0%,$0.01,0.04%,$0.42,1.22%,$34.40
KHC,1012,33%,4.5-5.0%,$-0.56,-2.27%,$0.17,0.69%,$24.80
KMI,787,32%,4.5-5.0%,$-0.21,-0.65%,$0.13,0.40%,$32.32
ISRG,6543,43%,4.5-5.0%,$0.34,0.07%,$16.00,3.29%,$485.84
KMB,1482,24%,4.0-4.5%,$-1.63,-1.49%,$0.80,0.73%,$109.41
JPM,6240,36%,4.5-5.0%,$-1.26,-0.42%,$5.20,1.72%,$302.55
KO,2151,26%,4.5-5.0%,$-0.60,-0.76%,$0.31,0.39%,$78.68
KOLD,2058,104%,1.0-1.5%,$-0.72,-3.48%,$4.30,20.84%,$20.63
KKR,4335,47%,4.5-5.0%,$-0.16,-0.16%,$4.20,4.13%,$101.73
KSS,688,74%,4.0-4.5%,$0.19,0.95%,$0.37,1.86%,$19.85
LAES,110,144%,1.5-2.0%,$0.20,5.19%,$-0.03,-0.78%,$3.85
KR,3507,38%,4.0-4.5%,$-0.59,-0.83%,$1.49,2.09%,$71.25
LAC,134,91%,2.5-3.0%,$0.08,1.84%,$0.00,0.00%,$4.63
LASE,55,187%,3.0-3.5%,$0.25,32.89%,$-0.45,-59.21%,$0.76
KTOS,755,72%,1.5-2.0%,$0.57,0.64%,$4.45,5.00%,$89.06
LCID,249,90%,1.0-1.5%,$0.23,2.27%,$0.68,6.61%,$10.28
LDI,36,125%,0.5-1.0%,$0.15,7.39%,$-0.05,-2.46%,$2.03
KVUE,728,43%,4.0-4.5%,$-0.30,-1.59%,$0.28,1.50%,$18.70
KWEB,1278,42%,4.0-4.5%,$-0.99,-3.02%,$0.59,1.80%,$32.79
KRE,2433,47%,4.5-5.0%,$-0.60,-0.84%,$0.23,0.32%,$71.28
LEVI,159,47%,2.5-3.0%,$0.08,0.37%,$0.10,0.46%,$21.91
